session No.,subcommittee,paper no.,paper title,first author country,last author country,page
Session 1,Plenary - Invited Papers,1.1,AI Era Innovation Matrix,United States,United States,18
Session 1,Plenary - Invited Papers,1.2,From Chips to Thoughts: Building Physical,United States,United States,18
Session 1,Plenary - Invited Papers,1.3,AI Revolution Driven by Memory,Korea,Korea,19
Session 1,Plenary - Invited Papers,1.4,The Crucial Role of Semiconductors,Germany,Germany,19
Session 2,Processors,2.1,“Zen 5”: The AMD High-Performance 4nm x86-64 Microprocessor,United States,India,20
Session 2,Processors,2.2,IBM Telum II: Next Generation 5.5GHz Microprocessor with,United States,United States,20
Session 2,Processors,2.3,"Granite Rapids-D: Intel Xeon 6 SoC for vRAN, Edge, Networking,",India,United States,20
Session 2,Processors,2.4,"A 300MB SRAM, 20Tb/s Bandwidth Scalable Heterogenous 2.5D",India,United States,20
Session 2,Processors,2.5,A 16nm 5.7TOPS CNN Processor Supporting Bi-Directional FPN,Taiwan,Taiwan,21
Session 2,Processors,2.6,1.78mJ/Frame 373fps 3D GS Processor Based on Shape-Aware,China,China,21
Session 2,Processors,2.7,IRIS: An 8.55mJ/frame Spatial Computing SoC for Interactable,Korea,Korea,21
Session 2,Processors,2.8,A 210fps Image Signal Processor for 4K Ultra HD True Video,Taiwan,United States,21
Session 2,Processors,2.9,STEP: An 8K-60fps Space-Time Resolution-Enhancement,Taiwan,Taiwan,21
Session 2,Processors,2.10,A 0.52mJ/Frame 107fps Super-Resolution Processor Exploiting,China,China,21
Session 3,Ampliﬁers and Analog Front-Ends,3.1,"A 121.3dB-DR, 115dB-PSNR, Digital-Input Capacitive-Feedback",Taiwan,Taiwan,22
Session 3,Ampliﬁers and Analog Front-Ends,3.2,A 36V Current-Balancing Instrumentation Ampliﬁer with ±24V,China,China,22
Session 3,Ampliﬁers and Analog Front-Ends,3.3,A Passive Switched-Capacitor-Based Multimode Ampliﬁer with a,Germany,Germany,22
Session 3,Ampliﬁers and Analog Front-Ends,3.4,A CMOS Operational Ampliﬁer Achieving ±5.8μV 3σ Offset and,China,Netherlands,22
Session 4,Analog Techniques,4.1,A 12.8GS/s Sub-Sampling ADC Front-End with 38GHz Input,Netherlands,France,23
Session 4,Analog Techniques,4.2,A 1.8-to-3.0GHz Fully Integrated All-In-One CMOS Frequency,China,United States,23
Session 4,Analog Techniques,4.3,"A 0.36nW, 820μm2, 32kHz Conduction-Angle-Adaptive Crystal","Hong Kong, China",China,23
Session 4,Analog Techniques,4.4,A 0.36nW/0.9V 32kHz Crystal Oscillator Using Analog Regulation,Germany,Germany,23
Session 4,Analog Techniques,4.5,A 0.4μW/MHz Reference-Replication-Based RC Oscillator with,China,China,23
Session 4,Analog Techniques,4.6,"A 0.8V, 31ppm/°C, -40dB DC-to-GHz Power-Supply-Rejection",Taiwan,Taiwan,23
Session 5,Front-End Circuits for High-Performance Transceivers,5.1,A GaN SLCG-Doherty-Continuum Power Ampliﬁer Achieving >38%,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.2,Spatial-Temporal Direct-Digital Beamforming Power Ampliﬁer,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.3,A 56-to-64GHz Linear Power Ampliﬁer with 30.2dBm Psat and,China,China,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.4,A 22nm FDSOI CMOS-Based Compact 3-Stack Doherty Power,Korea,Korea,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.5,An Ultra-Compact Wideband Load-Insensitive Complex-Cascode,Switzerland,Switzerland,24
Session 5,Front-End Circuits for High-Performance Transceivers,5.6,A Power-Efﬁcient CORDIC-less Digital Polar Transmitter Using 1b,Japan,Japan,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.7,"A 4.7GHz, 27.7dBm Pout, 37.8% PAE, 5.8° AM-PM Distortion",China,China,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.8,A 20W CMOS/LDMOS All-Digital Transmitter with Dynamic,Netherlands,Germany,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.9,A 21-to-31GHz DPD-less Quadrature RFDAC with Invariant,China,China,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.10,A 3.5mW mm-Wave Low-Noise Active Bandpass Filter Employing,United States,United States,25
Session 5,Front-End Circuits for High-Performance Transceivers,5.11,A Blocker-Tolerant mm-Wave Low-Noise Ampliﬁer Utilizing,United States,United States,25
Session 6,Imagers and Displays,6.1,A 3-Stacked Hybrid-Shutter CMOS Image Sensor with Switchable,Korea,Korea,26
Session 6,Imagers and Displays,6.2,An Asynchronous 160×90 Flash LiDAR Sensor with Dynamic,Korea,Korea,26
Session 6,Imagers and Displays,6.3,SPAD Flash LiDAR with Chopped Analog Counter for 76m Range,Korea,Korea,26
Session 6,Imagers and Displays,6.4,A 400×400 3.24μm 117dB-Dynamic-Range 3-Layer Stacked,United States,United States,26
Session 6,Imagers and Displays,6.5,A 25.2Mpixel 120frames/s Full-Frame Global-Shutter CMOS,Japan,Japan,27
Session 6,Imagers and Displays,6.6,A 320×256 6.9mW 2.2mK-NETD 120.4dB-DR LW-IRFPA with,China,China,27
Session 6,Imagers and Displays,6.7,A 10b Source-Driver IC with All-Channel Automatic Offset,Korea,Korea,27
Session 6,Imagers and Displays,6.8,A Real-Time Pixel-Compensated Source-Driver IC with,Korea,Korea,27
Session 6,Imagers and Displays,6.9,A Compact 10b Source Driver IC with Delta-Sigma Pulse Width,Korea,Korea,27
Session 6,Imagers and Displays,6.10,A 10.5mW Automotive Touch AFE IC Featuring Radiated EMI,Korea,Korea,27
Session 7,Ultra-High-Speed Wireline,7.1,A 212.5Gb/s DSP-Based PAM-4 Transceiver with 50dB Loss,Taiwan,United States,28
Session 7,Ultra-High-Speed Wireline,7.2,A 2.2pJ/b 212.5Gb/s PAM-4 Transceiver with >46dB Reach in 5nm,United States,Canada,28
Session 7,Ultra-High-Speed Wireline,7.3,A 1.11pJ/b 224Gb/s XSR Receiver with Slice-Based CTLE and,China,China,28
Session 7,Ultra-High-Speed Wireline,7.4,A 112Gb/s DSP-Based PAM-4 Receiver with an LC-Resonator-,United States,Taiwan,28
Session 7,Ultra-High-Speed Wireline,7.5,A 353mW 112Gb/s Discrete Multitone Wireline Receiver Datapath,Korea,Switzerland,29
Session 7,Ultra-High-Speed Wireline,7.6,A 2.06pJ/b 106.25Gb/s PAM-4 Receiver with 3-Tap FFE and 1-Tap,Taiwan,Taiwan,29
Session 7,Ultra-High-Speed Wireline,7.7,"A 50Gb/s Burst-Mode NRZ Receiver with 5-Tap FFE, 7-Tap DFE",China,China,29
Session 7,Ultra-High-Speed Wireline,7.8,A Reference-less CDR Using SAR-Based Frequency-Acquisition,China,China,29
Session 7,Ultra-High-Speed Wireline,7.9,A 60Gb/s NRZ Burst-Mode CDR with Cross-Injection Locking and,China,China,29
Session 7,Ultra-High-Speed Wireline,7.10,An 8-to-28GHz 8-Phase Clock Generator Using Dual-Feedback,China,China,29
Session 2,Processors,2.5,A 16nm 5.7TOPS CNN Processor Supporting Bi-Directional FPN,,,30
Session 2,Processors,2.6,1.78mJ/Frame 373fps 3D GS Processor Based on Shape-Aware,,,30
Session 2,Processors,2.7,IRIS: An 8.55mJ/frame Spatial Computing SoC for Interactable,,,30
Session 2,Processors,2.9,STEP: An 8K-60fps Space-Time Resolution-Enhancement,,,30
Session 4,Analog Techniques,4.2,A 1.8-to-3.0GHz Fully Integrated All-In-One CMOS Frequency,,,30
Session 4,Analog Techniques,4.3,"A 0.36nW, 820μm2, 32kHz Conduction-Angle-Adaptive Crystal",,,30
Session 6,Imagers and Displays,6.1,A 3-Stacked Hybrid-Shutter CMOS Image Sensor with Switchable,,,30
Session 7,Ultra-High-Speed Wireline,7.2,A 2.2pJ/b 212.5Gb/s PAM-4 Transceiver with >46dB Reach in 5nm,,,30
Session 7,Ultra-High-Speed Wireline,7.4,A 112Gb/s DSP-Based PAM-4 Receiver with an LC-Resonator-,,,30
Session 7,Ultra-High-Speed Wireline,7.6,A 2.06pJ/b 106.25Gb/s PAM-4 Receiver with 3-Tap FFE and 1-Tap,,,30
Session 8,"Digital Techniques for System Adaptation,",8.8,Fine-Grained Spatial and Temporal Thermal Proﬁling of a 16nm,,,30
Session 8,"Digital Techniques for System Adaptation,",8.9,An On-Cell Monitoring and Balancing System with Near-Field,,,31
Session 9,Ubiquitous Power Delivery,9.6,A 6.78MHz Single-Stage Regulating Rectiﬁer with Dual Outputs,,,31
Session 10,Transceiver Chipsets for Communications and Radar,10.1,A 77GHz Hybrid TDMA-MIMO Phased-Array Radar with 186m,,,31
Session 10,Transceiver Chipsets for Communications and Radar,10.5,A 28nm Multimode Multiband RF Transceiver with Harmonic-,,,31
Session 13,(Unknown),13.2,An 8.62μW 75dB-DRSoC End-to-End Spoken-Language-,,,31
Session 13,(Unknown),13.3,A Cryo-BiCMOS Controller for 9Be+-Trapped-Ion-Based Quantum,,,31
Session 13,(Unknown),13.4,Xiling: Cryo-CMOS 18-bit Dual-DAC Manipulator with 4.6μV,,,31
Session 14,Compute-in-Memory,14.3,A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-,,,31
Session 16,Invited Industry,16.1,Tomahawk5: 51.2Tb/s 5nm Monolithic Switch Chip for AI/ML,,,31
Session 16,Invited Industry,16.2,RNGD: A 5nm Tensor-Contraction Processor for Power-Efﬁcient,,,31
Session 8,"Digital Techniques for System Adaptation,",8.1,Dynamic Guard-Band Features of the IBM zNext System,Germany,India,32
Session 8,"Digital Techniques for System Adaptation,",8.2,Run-Time Power Management System by On-Die Power Sensor,Taiwan,United States,32
Session 8,"Digital Techniques for System Adaptation,",8.3,A Dynamically Reconﬁgurable Digital-Integrated,United States,United States,32
Session 8,"Digital Techniques for System Adaptation,",8.4,"A 4GHz, 0.69%-Accuracy Voltage-Droop Detector with Multiple",Korea,Korea,32
Session 8,"Digital Techniques for System Adaptation,",8.5,A Command-Aware Hybrid LDO for Advanced HBM Interfaces with,Korea,Korea,33
Session 8,"Digital Techniques for System Adaptation,",8.6,A 0.024mm2 All-Digital Fractional Output Divider with 257fs,China,China,33
Session 8,"Digital Techniques for System Adaptation,",8.7,A Dual VDD-Temperature Sensor Employing Sensor Fusion with,United States,United States,33
Session 8,"Digital Techniques for System Adaptation,",8.8,Fine-Grained Spatial and Temporal Thermal Proﬁling of a 16nm,United States,United States,33
Session 8,"Digital Techniques for System Adaptation,",8.9,An On-Cell Monitoring and Balancing System with Near-Field,United Kingdom,United Kingdom,33
Session 9,Ubiquitous Power Delivery,9.1,An 85-to-230VAC to 3.3-to-4.6VDC 1.52W Capacitor-Drop,"Macau, China",China,34
Session 9,Ubiquitous Power Delivery,9.2,A 400MHz Symbol-Power-Tracking (SPT) Supply Modulator with,United States,United States,34
Session 9,Ubiquitous Power Delivery,9.3,A 74W/48V Monolithic-GaN Integrated Adjustable Multilevel,United States,United States,34
Session 9,Ubiquitous Power Delivery,9.4,A 102ns/V 94.3%-Peak-Efﬁciency Symbol-Power-Tracking Supply,China,China,34
Session 9,Ubiquitous Power Delivery,9.5,"A Sub-1V, 50mV Dropout LDO Using Pseudo-Impedance Buffer",Korea,Korea,34
Session 9,Ubiquitous Power Delivery,9.6,A 6.78MHz Single-Stage Regulating Rectiﬁer with Dual Outputs,China,United States,34
Session 9,Ubiquitous Power Delivery,9.7,A 6.78MHz 94.2% Peak Efﬁciency Class-E Transmitter with,China,China,35
Session 9,Ubiquitous Power Delivery,9.8,A 50W 98%-Efﬁciency High-Power Wireless-Charging System,Korea,Korea,35
Session 9,Ubiquitous Power Delivery,9.9,A Bi-Directional Dual-Path Boost-48V-Buck Hybrid Converter for,"Macau, China",China,35
Session 9,Ubiquitous Power Delivery,9.10,A 93%-Peak-Efﬁciency Battery-Input 12-to-36V-Output,China,China,35
Session 9,Ubiquitous Power Delivery,9.11,A 98.3%-Peak-Efﬁciency Single-Mode Hybrid Buck-Boost,China,China,35
Session 10,Transceiver Chipsets for Communications and Radar,10.1,A 77GHz Hybrid TDMA-MIMO Phased-Array Radar with 186m,China,China,36
Session 10,Transceiver Chipsets for Communications and Radar,10.2,A 132-to-148GHz CMOS 4TX-4RX FMCW Radar Transceiver Array,China,China,36
Session 10,Transceiver Chipsets for Communications and Radar,10.3,A D-Band 2D-Scalable 4×4 Active Reﬂective Relay with,Switzerland,Switzerland,36
Session 10,Transceiver Chipsets for Communications and Radar,10.4,A 2-TRX IR-UWB Transceiver with Shared Antennas Supporting,Korea,Korea,36
Session 10,Transceiver Chipsets for Communications and Radar,10.5,A 28nm Multimode Multiband RF Transceiver with Harmonic-,China,Singapore,36
Session 11,(Unknown),11.1,A 256-Element Ka-Band CMOS Phased-Array Receiver Using,Japan,Japan,37
Session 11,(Unknown),11.2,A Blocker-Tolerant Receiver with VCO-Based Non-Uniform,United States,Canada,37
Session 11,(Unknown),11.3,A Compact Full-Duplex Receiver with Wideband Multi-Domain,China,China,37
Session 11,(Unknown),11.4,A Gm-C RF Quadrature-Current-Generation Technique with 40dB,China,China,37
Session 11,(Unknown),11.5,A 200MHz-BW Blocker-Tolerant Receiver with Fifth-Order,China,China,37
Session 12,Innovations from Outside the (ISSCC’s) Box,12.1,Circuits that Solve Optimization Problems by Exploiting Physics,United States,United States,38
Session 12,Innovations from Outside the (ISSCC’s) Box,12.2,p-Circuits: Neither Digital nor Analog,United States,United States,38
Session 12,Innovations from Outside the (ISSCC’s) Box,12.3,Reversing Scattering to Perform Deep-Tissue Optical Imaging and,United States,United States,38
Session 12,Innovations from Outside the (ISSCC’s) Box,12.4,Skin-Inspired Electronics: An Emerging Sensing and Computing,United States,Denmark,38
Session 13,(Unknown),13.1,A 0.22mm2 161nW Noise-Robust Voice-Activity Detection Using,China,China,39
Session 13,(Unknown),13.2,An 8.62μW 75dB-DRSoC End-to-End Spoken-Language-,Switzerland,Finland,39
Session 13,(Unknown),13.3,A Cryo-BiCMOS Controller for 9Be+-Trapped-Ion-Based Quantum,Germany,Japan,39
Session 13,(Unknown),13.4,Xiling: Cryo-CMOS 18-bit Dual-DAC Manipulator with 4.6μV,China,China,39
Session 13,(Unknown),13.5,An 18.5μW/qubit Cryo-CMOS Charge-Readout IC Demonstrating,France,France,39
Session 13,(Unknown),13.6,A Via-Programmable DNN-Processor Fabrication Toward 1/40th,Japan,Japan,39
Session 14,Compute-in-Memory,14.1,A 22nm 104.5TOPS/W μ-NMC-Δ-IMC Heterogeneous STT-MRAM,Taiwan,Taiwan,40
Session 14,Compute-in-Memory,14.2,"A 16nm 216kb, 188.4TOPS/W and 133.5TFLOPS/W Microscaling",Taiwan,United States,40
Session 14,Compute-in-Memory,14.3,A 28nm 17.83-to-62.84TFLOPS/W Broadcast-Alignment Floating-,China,China,40
Session 14,Compute-in-Memory,14.4,A 51.6TFLOPS/W Full-Datapath CIM Macro Approaching Sparsity,China,China,40
Session 14,Compute-in-Memory,14.5,A 28nm 192.3TFLOPS/W Accurate/Approximate Dual-Mode-,China,"Macau, China",41
Session 14,Compute-in-Memory,14.6,A 28nm 64kb Bit-Rotated Hybrid-CIM Macro with an Embedded,China,China,41
Session 14,Compute-in-Memory,14.7,"NeuroPilot: A 28nm, 69.4fJ/node and 0.22ns/node, 32×32",China,China,41
Session 15,Neural Interfaces and Edge Intelligence,15.1,A 3.9mW 200words/min Neural Signal Processor in Speech,Taiwan,Taiwan,42
Session 15,Neural Interfaces and Edge Intelligence,15.2,A 1024-Channel 0.00029mm2/ch 74nW/ch Online Spatial,Netherlands,United States,42
Session 15,Neural Interfaces and Edge Intelligence,15.3,A 65nm Uncertainty-Quantiﬁable Ventricular Arrhythmia,United States,United States,42
Session 15,Neural Interfaces and Edge Intelligence,15.4,A Neuroprosthetic SoC with Sensory Feedback Featuring,Canada,Taiwan,42
Session 15,Neural Interfaces and Edge Intelligence,15.5,Event-Based Spatially Zooming Neural Interface IC with,Canada,Canada,43
Session 15,Neural Interfaces and Edge Intelligence,15.6,A 3.47 NEF 175.2dB FOMS Direct Digitization Front-End Featuring,Switzerland,United States,43
Session 15,Neural Interfaces and Edge Intelligence,15.7,A 4.6μW 3.3-NEF Biopotential Ampliﬁer with 133VPP,Korea,United States,43
Session 16,Invited Industry,16.1,Tomahawk5: 51.2Tb/s 5nm Monolithic Switch Chip for AI/ML,United States,United States,44
Session 16,Invited Industry,16.2,RNGD: A 5nm Tensor-Contraction Processor for Power-Efﬁcient,Korea,Korea,44
Session 16,Invited Industry,16.3,An On-Device Generative AI Focused Neural Processing Unit in,Korea,Korea,44
Session 16,Invited Industry,16.4,SambaNova SN40L: A 5nm 2.5D Dataﬂow Accelerator With Three,United States,United States,44
Session 17,Hardware Security,17.1,Sensor-Less Laser Voltage-Probing Attack Detection via,Singapore,China,45
Session 17,Hardware Security,17.2,A 28nm 4.05μJ/Encryption 8.72kHMul/s Reconﬁgurable,China,China,45
Session 17,Hardware Security,17.3,A 30.4GOPS/mW MK-CKKS Processor for Secure Multi-Party,Taiwan,Taiwan,45
Session 17,Hardware Security,17.4,An Efﬁcient Vth-Tilting PUF Design in 3nm GAA and 8nm FinFET,Korea,Korea,45
Session 17,Hardware Security,17.5,An Eye-Opening Arbiter PUF for Fingerprint Generation Using,Germany,Germany,45
Session 17,Hardware Security,17.6,A 100MHz Self-Calibrating RC Oscillator Capable of Clock-Glitch,United States,United States,45
Session 18,Noise-Shaping and SAR-Based ADCs,18.1,A Fully Dynamic Noise-Shaping SAR ADC Achieving 120dB SNDR,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs,18.2,A 12.2μW 99.6dB-SNDR 184.8dB-FoMS DT Zoom PPD ΔΣM with,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs,18.3,"A 93.3dB SNDR, 180.4dB FoMS",China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs,18.4,A 184.8dB FoMS 1.6MS/s Incremental Noise-Shaping Pipeline,China,China,46
Session 18,Noise-Shaping and SAR-Based ADCs,18.5,A Rail-to-Rail 3rd-Order Noise-Shaping SAR ADC Achieving,China,China,47
Session 18,Noise-Shaping and SAR-Based ADCs,18.6,An Easy-Drive 16MS/s Pipelined-SAR ADC Using Split,China,China,47
Session 18,Noise-Shaping and SAR-Based ADCs,18.7,A 70dB SNDR 80MHz BW Filter-Embedded Pipeline-SAR ADC,China,China,47
Session 18,Noise-Shaping and SAR-Based ADCs,18.8,A Cryo-CMOS 800MS/s 7b CI-SAR with only 4fF Input Capacitance,Belgium,Belgium,47
Session 19,Frequency Synthesizers and Series-Resonance VCOs,19.1,A PVT-Robust 5.5GHz Fractional-N Cascaded RO-Based Digital,"Macau, China",Portugal,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs,19.2,"A 96fsrms-Jitter, -70.6dBc-Fractional-Spur Cascaded PLL",Japan,Japan,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs,19.3,A Fractional-N PLL with 34fsrms Jitter and -255.5dB FoM Based,Taiwan,Taiwan,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs,19.4,An 8.1-to-9.9GHz Single-Core Pseudo-Series-Resonance,Ireland,United Kingdom,48
Session 19,Frequency Synthesizers and Series-Resonance VCOs,19.5,A Differential Series-Resonance CMOS VCO with,China,China,48
